;City;Year;Thermal_stress;size
486;Екатеринбург;1993;extreme cold stress;24
487;Екатеринбург;1993;strong cold stress;8
488;Екатеринбург;1993;moderate cold stress;16
489;Екатеринбург;1993;slight cold stress;26
490;Екатеринбург;1993;no thermal stress;34
491;Екатеринбург;1993;slight heat stress;33
492;Екатеринбург;1993;moderate heat stress;11
493;Екатеринбург;1993;strong heat stress;1
494;Екатеринбург;1993;extreme heat stress;0
495;Екатеринбург;1994;extreme cold stress;3
496;Екатеринбург;1994;strong cold stress;9
497;Екатеринбург;1994;moderate cold stress;31
498;Екатеринбург;1994;slight cold stress;43
499;Екатеринбург;1994;no thermal stress;39
500;Екатеринбург;1994;slight heat stress;21
501;Екатеринбург;1994;moderate heat stress;7
502;Екатеринбург;1994;strong heat stress;0
503;Екатеринбург;1994;extreme heat stress;0
504;Екатеринбург;1995;extreme cold stress;10
505;Екатеринбург;1995;strong cold stress;5
506;Екатеринбург;1995;moderate cold stress;18
507;Екатеринбург;1995;slight cold stress;28
508;Екатеринбург;1995;no thermal stress;27
509;Екатеринбург;1995;slight heat stress;38
510;Екатеринбург;1995;moderate heat stress;23
511;Екатеринбург;1995;strong heat stress;4
512;Екатеринбург;1995;extreme heat stress;0
513;Екатеринбург;1996;extreme cold stress;14
514;Екатеринбург;1996;strong cold stress;14
515;Екатеринбург;1996;moderate cold stress;18
516;Екатеринбург;1996;slight cold stress;32
517;Екатеринбург;1996;no thermal stress;29
518;Екатеринбург;1996;slight heat stress;35
519;Екатеринбург;1996;moderate heat stress;10
520;Екатеринбург;1996;strong heat stress;1
521;Екатеринбург;1996;extreme heat stress;0
522;Екатеринбург;1997;extreme cold stress;6
523;Екатеринбург;1997;strong cold stress;6
524;Екатеринбург;1997;moderate cold stress;32
525;Екатеринбург;1997;slight cold stress;48
526;Екатеринбург;1997;no thermal stress;33
527;Екатеринбург;1997;slight heat stress;20
528;Екатеринбург;1997;moderate heat stress;7
529;Екатеринбург;1997;strong heat stress;1
530;Екатеринбург;1997;extreme heat stress;0
531;Екатеринбург;1998;extreme cold stress;11
532;Екатеринбург;1998;strong cold stress;14
533;Екатеринбург;1998;moderate cold stress;18
534;Екатеринбург;1998;slight cold stress;22
535;Екатеринбург;1998;no thermal stress;30
536;Екатеринбург;1998;slight heat stress;24
537;Екатеринбург;1998;moderate heat stress;29
538;Екатеринбург;1998;strong heat stress;5
539;Екатеринбург;1998;extreme heat stress;0
540;Екатеринбург;1999;extreme cold stress;8
541;Екатеринбург;1999;strong cold stress;21
542;Екатеринбург;1999;moderate cold stress;29
543;Екатеринбург;1999;slight cold stress;34
544;Екатеринбург;1999;no thermal stress;26
545;Екатеринбург;1999;slight heat stress;21
546;Екатеринбург;1999;moderate heat stress;14
547;Екатеринбург;1999;strong heat stress;0
548;Екатеринбург;1999;extreme heat stress;0
549;Екатеринбург;2000;extreme cold stress;21
550;Екатеринбург;2000;strong cold stress;9
551;Екатеринбург;2000;moderate cold stress;18
552;Екатеринбург;2000;slight cold stress;28
553;Екатеринбург;2000;no thermal stress;27
554;Екатеринбург;2000;slight heat stress;31
555;Екатеринбург;2000;moderate heat stress;17
556;Екатеринбург;2000;strong heat stress;2
557;Екатеринбург;2000;extreme heat stress;0
558;Екатеринбург;2001;extreme cold stress;4
559;Екатеринбург;2001;strong cold stress;9
560;Екатеринбург;2001;moderate cold stress;28
561;Екатеринбург;2001;slight cold stress;53
562;Екатеринбург;2001;no thermal stress;30
563;Екатеринбург;2001;slight heat stress;25
564;Екатеринбург;2001;moderate heat stress;3
565;Екатеринбург;2001;strong heat stress;1
566;Екатеринбург;2001;extreme heat stress;0
567;Екатеринбург;2002;extreme cold stress;7
568;Екатеринбург;2002;strong cold stress;15
569;Екатеринбург;2002;moderate cold stress;35
570;Екатеринбург;2002;slight cold stress;38
571;Екатеринбург;2002;no thermal stress;32
572;Екатеринбург;2002;slight heat stress;15
573;Екатеринбург;2002;moderate heat stress;11
574;Екатеринбург;2002;strong heat stress;0
575;Екатеринбург;2002;extreme heat stress;0
576;Екатеринбург;2003;extreme cold stress;4
577;Екатеринбург;2003;strong cold stress;7
578;Екатеринбург;2003;moderate cold stress;16
579;Екатеринбург;2003;slight cold stress;31
580;Екатеринбург;2003;no thermal stress;35
581;Екатеринбург;2003;slight heat stress;43
